code,title,parent_code,group_level,source_url,source_status,source_file,candidate_type
264,Писатели, журналисты и лингвисты,26,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2641,Писатели, поэты и другие литераторы,264,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2642,Журналисты,264,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2643,Переводчики и другие лингвисты,264,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
265,Художники и артисты,26,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2651,Художники,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2652,Музыканты, певцы и композиторы,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2653,Танцоры и хореографы,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2654,Режиссеры кино, театра и родственные им деятели искусства и продюсеры,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2655,Актеры,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2656,Дикторы радио, телевидения и других средств массовой информации,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2659,Деятели искусств, не входящие в другие группы,265,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
31,Специалисты-техники в области науки и техники,,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
311,Техники в области физических и технических наук,31,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3111,Техники в области химических и физических наук,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3112,Техники по гражданскому строительству,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3113,Техники-электрики,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
